,birth_date,gender,area,title,specialization,salary,education_level,education,language,experience,skill_set,skills
10,28,Мужчина,Турция,Букмекер/аналитик ,Аналитик,,Неоконченное высшее образование,,"['Русский', 'Английский']",0,"[""['Ответственность'"", "" 'Отзывчивость'"", "" 'Пунктуальность'"", "" 'Уверенность в себе'"", "" 'Оптимизм'"", "" 'Умение добиваться поставленных целей'"", "" 'Тайм-менеджмент'"", "" 'Креативное мышление'"", "" 'Внимательность'"", "" 'Умение работать в команде'"", "" 'Стрессоустойчивость'"", "" 'Пользователь ПК'"", "" 'Деловая переписка'"", "" 'Internet'"", "" 'Системы видеонаблюдения'"", "" 'Работа с большим объемом информации'"", "" 'Деловое общение'"", "" 'Поиск информации в интернет']""]","Веду активный образ жизни, умею расставлять приоритеты и находить общий язык с людьми. 
Стремлюсь к профессиональному развитию.
На двух последних местах работы получал вертикальное повышение менее чем за год.
Уверенный пользователь ПК, легко нахожу информацию в интернете.
Характеристики ПК:
Ноутбук: Sony SVF1532G4RB, 
Процессор: Intel(R) Core(TM) i5-4200U CPU @1.60 Ghz, 
Оперативная память: 6,00 ГБ, 
Видеокарта: NVIDIA GeForce GT 740M."
11,35,Мужчина,Турция,Менеджер IT-проектов,Руководитель проектов,,Среднее специальное образование,,"['Татарский', 'Английский', 'Русский']",1,"[""['межличностного делового общения'"", "" 'умение организовывать работу"", ' планировать', "" принимать решения;'"", "" 'способность анализировать проблемы"", "" эффективно искать пути их разрешения;'"", "" 'навыки управления проектами;'"", "" 'деловое лидерство.']""]","Честность. Клиентоориентированность. Ответственность. Коммуникабельность.
Глубокие знания в IT-сфере, в сфере ремонта техники, в сфере обслуживания клиентов. Умение работать в команде. Самостоятельность, организованность, ориентация на результат, активная жизненная позиция, аналитические способности.
Увлечения:
футбол, бильярд, люблю готовить, путешествовать."
12,35,Женщина,Турция,Территориальный управляющий,Супервайзер,,Высшее образование,8,"['Русский', 'Болгарский', 'Турецкий']",0,"[""['Работа на выставках'"", "" 'Перевод'"", "" 'оформление документации'"", "" 'Таможенное оформление'"", "" 'Урегулирование конфликтов'"", "" 'Административное управление'"", "" 'Документальное сопровождение'"", "" 'Международный туризм'"", "" 'Письменный перевод'"", "" 'Туристический менеджмент'"", "" 'Подготовка презентаций на иностранном языке'"", "" 'Бронирование билетов'"", "" 'Ведение переписки на иностранном языке'"", "" 'Перевод технической документации'"", "" 'Ведение переписки'"", "" 'Закупка товаров и услуг'"", "" 'Работа в команде'"", "" 'Ведение переговоров'"", "" 'Деловая переписка'"", "" 'Работа с большим объемом информации'"", "" 'Организаторские навыки'"", "" 'Активные продажи'"", "" 'Управление персоналом'"", "" 'Последовательный перевод'"", "" 'Устный перевод'"", "" 'Деловое общение'"", "" 'Заключение договоров'"", "" 'Делопроизводство'"", "" 'Обучение персонала'"", "" 'Управление продажами']""]","Активная жизненная позиция, это успех любого дела! Всегда вспоминаю слова о том, что Не кресло красит человека, достижение результатов является главной целью! В какой сфере где бы ты не работал, везде и всегда нужно работать так, как ты бы относился к Своему делу!"
13,30,Женщина,Турция,2D художник / 2D Artist / Concept Artist,"Дизайнер, художник",,Высшее образование (Бакалавр),3,"['Русский', 'Английский', 'Испанский']",1,"[""['Adobe Photoshop'"", "" 'Procreate'"", "" 'Визуализация'"", "" 'Blender'"", "" 'Figma'"", "" 'Unity'"", "" '2d художник'"", "" 'Иллюстрирование'"", "" 'Рисунок от руки'"", "" 'графический планшет'"", "" 'Графика'"", "" 'Художник'"", "" 'Разработка компьютерных Игр'"", "" 'цифровая живопись'"", "" 'Разработка концепции'"", "" 'концепт-художник'"", "" 'художник по окружению'"", "" 'Английский язык'"", "" 'Креативность'"", "" 'Графические редакторы'"", "" 'Работа в команде'"", "" 'иллюстратор'"", "" 'концепт арт'"", "" 'концепт художник'"", "" 'concept artist'"", "" 'фотобаш'"", "" 'Blender 3D'"", "" 'Illustration'"", "" 'Artist']""]","Портфолио:
https://www.artstation.com/victoriashatokhina
Профиль на LinkedIn:
https://www.linkedin.com/in/vishartwork/
В данный момент живу в Турции, c конца ноября в Сербии.
Мои знания и преимущества:
- Софт: Adobe Photoshop + графический планшет Wacom, Blender, Procreate, Figma,
- Опыт работы в разных стилистиках (казуалка, семи реализм, реализм, фотобаш, 3D+2D),
- Навык быстрого рисунка и скетчинга от руки,
- Отличные знания в области анатомии, перспективы, композиции, цвета,
- Хороший английский,
- Опыт работы в команде,
- Я очень люблю то, что делаю, а потому выкладываюсь всегда на полную."
14,28,Мужчина,Турция,Инженер-проектировщик КИПиА,"Инженер-конструктор, инженер-проектировщик",,Высшее образование (Магистр),,"['Русский', 'Английский']",0,['[]'],"Владею такими программами, как avtocad, eplan, MO.
Коммуникабельность, ответственность, усидчивость, внимательность, организаторские способности, ориентация на результат, творческий подход к выполнению задач, умение работать в команде, способности к быстрому обучению, высокая работоспособность. В состоянии совмещать общественную работу с профессиональной. Имею большое желание и силы углублять свои знания и осваивать новые направления в работе.
В свободное время играю в футбол и путешествую;)"
15,26,Женщина,Турция,Главный специалист,"Инженер ПТО, инженер-сметчик",,Высшее образование (Бакалавр),,"['Русский', 'Английский']",1,"[""['AutoCAD'"", "" 'работа с нормативной документацией в строительстве;'"", "" 'составление комплектов исполнительной документации и защита ее у заказчика;'"", "" 'проверка и согласование проектной документации с проектной организацией и генеральным подрядчиком;'"", "" 'Креативность']""]","Личные качества: ответственность, исполнительность, пунктуальность, целеустремленность, коммуникабельность;
"
16,34,Женщина,Турция,Переводчик-китаист,"Учитель, преподаватель, педагог",,Высшее образование (Магистр),,"['Казахский', 'Английский', 'Китайский', 'Русский']",1,"[""['Устный перевод'"", "" 'Последовательный перевод'"", "" 'Письменный перевод'"", "" 'Редактирование текстов на иностранном языке'"", "" 'Перевод технической документации'"", "" 'Административная поддержка иностранного сотрудника'"", "" 'Деловая переписка'"", "" 'Синхронный перевод'"", "" 'Ведение переговоров'"", "" 'Перевод договоров'"", "" 'Пользователь ПК'"", "" 'Английский язык'"", "" 'Китайский язык']""]","Я закончила академическую магистратуру в Чжэцзянском педагогическом университете по специальности Международное  распространение китайского языка. Я являюсь победителем Всекитайского конкурса чтецов китайской классической литературы в 2020 году, лауреатом конкурса видеороликов о Китае, волонтёром проекта «Иностранная инструкция для профилактики и борьбы с эпидемией COVD-19»,  удостоена звания ""Лучшего иностранного студента Чжэцзянского Педагогического Университета в 2020-2021 учебном году"".  Во время обучения в Китае я преподавала китайский язык иностранным студентам. Увлекаюсь чтением современной китайской литературы, в особенности произведений Юй Хуа и Мо Янь. "
17,28,Мужчина,Турция,Senior Developer,"Программист, разработчик",,Высшее образование (Магистр),,"['Русский', 'Английский']",1,"[""['CSS'"", "" 'Git'"", "" 'Firebase'"", "" 'PostgreSQL'"", "" 'Django Framework'"", "" 'Celery'"", "" 'Kubernetes'"", "" 'Docker'"", "" 'RabbitMQ'"", "" 'Redis'"", "" 'C++'"", "" 'Python'"", "" 'SQL'"", "" 'JavaScript'"", "" 'Java'"", "" 'HTML'"", "" 'Сетевые технологии'"", "" 'Wireshark'"", "" 'ns-3'"", "" 'TFS'"", "" 'ODB'"", "" 'Алгоритмы и структуры данных'"", "" 'Hadoop'"", "" 'Unix'"", "" 'Bash'"", "" 'AWS'"", "" 'Seldon'"", "" 'Kibana'"", "" 'YouTrack'"", "" 'Atlassian Jira']""]","Выпускник и аспирант мехмата МГУ кафедры высшей алгебры, также учился в ""Школы анализа данных Яндекса"".
Быстро усваиваю новую информацию, имею хорошие аналитические способности, умею согласованно работать в команде, ответственный, стремлюсь к профессиональному росту и  самосовершенствованию.
Бэкендер. Основными языками программирования являются C++ и Python. Также знаю SQL, Git, имею знания в области сетей/сетевых технологий и web-технологий.
Имею публикации в научных журналах, в том числе на английском языке, выступал на научных конференциях https://istina.msu.ru/profile/bahad/"
18,44,Мужчина,Турция,Режиссер монтажа,"Видеооператор, видеомонтажер",,Высшее образование,17,"['Русский', 'Английский']",0,"[""['Ответственность']""]","Обладаю:
-знанием законов режиссуры и драматургии, умением в ""застольный период"" четко увидеть конечный результат;
- пониманием маркетинговых задач клиента, умением подвести под них креатив.
Уверенно работаю со съемочной группой, понимаю техническую составляющую конечного результата.
Умею поставить четкую задачу актерам, в том числе непрофессиональным.
Комфортно ориентируюсь в постпродакшне. Уверенно владею монтажными программами.
Примеры работ, портфолио:
http://www.youtube.com/playlist?list=PLBGh7hmYifLs9kmpsjzTGpXnBYHMN1RCu
Увлекаюсь документалистикой, являюсь автором проекта ""Дети войны"" http://detyvoiny.com
Участник ХI международного фестиваля православного кино ""Встреча"". Авторский фильм ""Ризы вышиты цветами"" вошел в конкурсную программу фестиваля. http://vstrecha-obninsk.ru/novosti/2016-01-30.html
Фильм ""Дорога к дому"" (2016) получил диплом 1-ой степени за ВЫСОКУЮ ДУХОВНОСТЬ на 1-ом международном кинофестивале в Красноярске, стал призером на Международном Кинофестивале социально ориентированных короткометражных фильмов, видеороликов и социальной рекламы «Лампа», получил гран-при на форуме ""Благотворительность в объективе"", участвовал в фестивалях NNFF 2016 (Израиль) и YoFiFest 2017 (США), был показан на ретроспективе фестиваля "" Лампа"" в штаба квартире ООН в Нью-Йорке в феврале 2020.
https://www.youtube.com/watch?v=CuefLRTlfDA
Фильм ""Крымский ход"" (2017) участник фестивалей ""Человек, познающий мир"" (Крым, 2017) и ""Встреча"" (Обнинск, 2018).
https://www.youtube.com/watch?v=NaTVAxQ-v9A"
19,45,Мужчина,Баку,Scaffolding Supervisor /  Inspector / Coordinator ,Другое,,Высшее образование (Бакалавр),19,"['Азербайджанский', 'Английский', 'Русский', 'Турецкий']",1,"[""['MS Excel'"", "" 'MS Outlook'"", "" 'MS Word'"", "" 'MS Internet Explorer'"", "" 'Работа в команде'"", "" 'Windows 7'"", "" 'Английский язык'"", "" 'Управление отношениями с клиентами'"", "" 'Управление персоналом'"", "" 'Строительно-монтажные риски'"", "" 'Строительно-монтажные леса'"", "" 'AutoCAD'"", "" 'Деловая коммуникация'"", "" 'Project management'"", "" 'Teamleading'"", "" 'Контроль исполнения решений'"", "" 'Строительство'"", "" 'Пользователь ПК'"", "" 'Организаторские навыки'"", "" 'Водительское удостоверение категории B'"", "" 'Обучение персонала']""]","хобби -футбол 
 
Дорогие все,
Я с удовольствием рекомендую себя на должность руководителя строительных лесов в вашей компании.
Я знаю, о каких вопросах нужно сообщать линейному руководителю для вмешательства со стороны руководства, и я понимаю роль практически всех должностей в отрасли. Я занимаюсь планированием, выявлением опасностей, навыками анализа работы и трудолюбием, что помогло достичь нереального прогресса в строительстве и в то же время помогло повысить HSE компании и качество строительных лесов.
Я хорошо понимаю все политики и процедуры компании, и мне не нужно напоминать о каких-либо процедурах или политиках, касающихся больничных листов, сверхурочных, контактов со средствами массовой информации и так далее. Я всегда профессионально отношусь к себе и к каждой ситуации и снова и снова доказываю, что могу думать на ногах и предлагать быстрые решения неотложных проблем.
Потому что я понимаю рабочие обязанности каждого сотрудника, я превосходный руководитель / руководитель группы. Я также очень ориентирован на детали, и я могу точно контролировать работу каждого сотрудника, поддерживая упорядоченный подход к каждому. Я также являюсь источником мотивации для моих стажеров и опытных сотрудников, предоставляя им варианты карьерного роста и советы. Я всегда являюсь активом любой рабочей команды.
Личные качества
Самостоятелен. Достигаю благополучия сам, не рассчитывая на помощь со стороны
Всегда выполняю соглашения, в том числе - с самим собой. Верен своему слову.
Способен быстро переходить от планирования к конкретным действиям.
Ценю свою честь
  Располагаю к себе других людей, вызывая их доверие.
  Умею сделать больше, чем от меня ожидают окружающие.
Легко иду навстречу препятствиям и преодолеваю их."
20,38,Женщина,Турция,Менеджер по работе с клиентами,Менеджер по работе с партнерами,,Высшее образование,12,"['Русский', 'Английский', 'Турецкий']",0,"[""['Работоспособность'"", "" 'Стрессоустойчивость']""]","Ответственность. Коммуникабельность. Целеустремленность. Организаторские способности, энергичность, аккуратность. Приветливость. Умение общаться с людьми. Возможность командировок.
Интересна культура и традиции восточных стран. 
Очень много времени посвятила самостоятельному изучению турецкого языка и продолжает его совершенствовать.
Люблю путешествовать, фотографировать и танцевать."
21,44,Мужчина,Туркменистан,Региональный менеджер по продажам,"Менеджер по продажам, менеджер по работе с клиентами",,Высшее образование,17,"['Туркменский', 'Английский', 'Русский', 'Турецкий']",1,"[""['MS Excel'"", "" 'MS Outlook'"", "" 'MS Word'"", "" '1С: Предприятие 8'"", "" 'Закупка товаров и услуг'"", "" 'Участие в Тендерах'"", "" 'Ответственность'"", "" 'Ориентация на результат'"", "" 'Обучаемость'"", "" 'SAP ERP']""]","Продвинутый пользователь ПК (Windows, Word, Excel, SAP ERP, 1С и др.)."
22,41,Мужчина,Москва,Главный инженер,"Сервисный инженер, инженер-механик",,Высшее образование,7,"['Русский', 'Английский']",1,"[""['Транспортная логистика'"", "" 'Логистика поставок'"", "" 'Документальное сопровождение'"", "" 'Претензионная работа'"", "" 'Водительское удостоверение категории B'"", "" 'Учет остатков'"", "" 'Работа с базами данных'"", "" 'Умение работать в команде'"", "" 'Контроль качества'"", "" 'Контроль поставок'"", "" 'MS Outlook']""]","Уверенная работа в программах офисных пакетов MS Office(Word,Excel,Powerpoint,Outlook)
1C-Предприятие, 1С- Нефтебаза и АЗС: оперативный учет"
23,38,Male,Turkey,Head of chartering department. Chartering manager,"Sales manager, account manager",,Higher education,7,"['Russian', 'English']",0,"[""['Исполнительность']""]","- good communication skill
- able to work and take decisions in stressful situations 
- ready for overwork and business trips
- good knowledge in marine law
- lot of relationships/contacs with owners/brokers/charterers on international chartering mareket (fleet from sea-river upto panamaxes size)"
24,34,Мужчина,Турция,Руководитель проекта,Руководитель проектов,,Высшее образование (Магистр),4,"['Русский', 'Английский', 'Французский']",1,"[""['Управление проектами'"", "" 'Бизнес-анализ'"", "" 'Управление продуктом'"", "" 'Создание цифровых продуктов'"", "" 'Проверка продуктовых гипотез'"", "" 'Управление командой']""]","Знания и умения:
- Знания и опыт в области управления проектами (PMBOK, IPMA, Agile/ Scrum);
- Опыт проработки бизнес-требований, инфраструктуты и архитектуры ИТ-проектов, формирования технической документации, организации закупок и договорной деятельности, координации взаимодействия с поставщиками, координации команд разработки и технической поддержки.
- Опыт создания MVP, проверки продуктовых гипотез, методология lean startup;
- Опыт применения на практике методов процессного управления (TQM, Lean/TPS/, Кайдзен);
- Навыки описания и анализа бизнес-процессов в с использованием ПО Aris, MS Visio; 
- Знание нотаций моделирования бизнес-процессов (BPMN, eEPC, VAD, IDEF0 и т.д.);
- Понимание IT стандартов (ITIL, COBiT, ISO 9000/10000/20000), методов создания и управления ИТ-архитектурой (TOGAF, Захман, FEA, Gartner);
- Умение решать сложные нестандартные задачи;
- Английский язык; 
-Опыт координации больших и регионально распределенных команд."
